horodatage;code_http;duree_ms;serveur
2026-09-18T11:38:59.578;200;7;web1
2026-09-18T11:38:59.629;200;7;web2
2026-09-18T11:38:59.669;200;8;web1
2026-09-18T11:38:59.716;200;14;web2
2026-09-18T11:38:59.753;200;12;web1
2026-09-18T11:38:59.792;200;11;web2
2026-09-18T11:38:59.839;200;7;web1
2026-09-18T11:38:59.877;200;10;web2
2026-09-18T11:38:59.915;200;11;web1
2026-09-18T11:38:59.965;200;7;web2
2026-09-18T11:39:00.009;200;10;web1
2026-09-18T11:39:00.067;200;11;web2
2026-09-18T11:39:00.109;200;11;web1
2026-09-18T11:39:00.155;200;8;web2
2026-09-18T11:39:00.195;200;9;web1
2026-09-18T11:39:00.237;200;6;web2
2026-09-18T11:39:00.287;200;12;web1
2026-09-18T11:39:00.327;200;11;web2
2026-09-18T11:39:00.379;200;15;web1
2026-09-18T11:39:00.417;200;8;web2
2026-09-18T11:39:00.464;200;7;web1
2026-09-18T11:39:00.504;200;11;web2
2026-09-18T11:39:00.545;200;8;web1
2026-09-18T11:39:00.592;200;15;web2
2026-09-18T11:39:00.631;200;8;web1
2026-09-18T11:39:00.670;200;6;web2
2026-09-18T11:39:00.720;200;9;web1
2026-09-18T11:39:00.760;200;17;web2
2026-09-18T11:39:00.807;200;6;web1
2026-09-18T11:39:00.847;200;12;web2
2026-09-18T11:39:00.883;200;6;web1
2026-09-18T11:39:00.923;200;6;web2
2026-09-18T11:39:00.967;200;7;web1
2026-09-18T11:39:01.005;200;12;web2
2026-09-18T11:39:01.046;200;11;web1
2026-09-18T11:39:01.093;200;11;web2
2026-09-18T11:39:01.132;200;15;web1
2026-09-18T11:39:01.171;200;14;web2
2026-09-18T11:39:01.219;200;15;web1
2026-09-18T11:39:01.260;200;10;web2
2026-09-18T11:39:01.308;200;7;web1
2026-09-18T11:39:01.356;200;13;web2
2026-09-18T11:39:01.397;200;8;web1
2026-09-18T11:39:01.445;200;15;web2
2026-09-18T11:39:01.485;200;8;web1
2026-09-18T11:39:01.528;200;8;web2
2026-09-18T11:39:01.575;200;10;web1
2026-09-18T11:39:01.617;200;14;web2
2026-09-18T11:39:01.670;200;8;web1
2026-09-18T11:39:01.717;200;13;web2
2026-09-18T11:39:01.759;200;7;web1
2026-09-18T11:39:01.813;200;10;web2
2026-09-18T11:39:01.855;200;7;web1
2026-09-18T11:39:01.908;200;9;web2
2026-09-18T11:39:01.953;200;7;web1
2026-09-18T11:39:02.003;200;10;web2
2026-09-18T11:39:02.044;200;7;web1
2026-09-18T11:39:02.094;200;9;web2
2026-09-18T11:39:02.138;200;6;web1
2026-09-18T11:39:02.192;200;6;web2
2026-09-18T11:39:02.242;200;6;web1
2026-09-18T11:39:02.291;200;12;web2
2026-09-18T11:39:02.338;200;6;web1
2026-09-18T11:39:02.386;200;7;web2
2026-09-18T11:39:02.429;200;6;web1
2026-09-18T11:39:02.479;200;9;web2
2026-09-18T11:39:02.529;200;13;web1
2026-09-18T11:39:02.570;200;13;web2
2026-09-18T11:39:02.616;200;8;web1
2026-09-18T11:39:02.663;200;6;web2
2026-09-18T11:39:02.711;200;15;web1
2026-09-18T11:39:02.750;200;7;web2
2026-09-18T11:39:02.798;200;8;web1
2026-09-18T11:39:02.846;200;9;web2
2026-09-18T11:39:02.893;200;12;web1
2026-09-18T11:39:02.935;200;8;web2
2026-09-18T11:39:02.974;200;11;web1
2026-09-18T11:39:03.014;200;7;web2
2026-09-18T11:39:03.060;200;7;web1
2026-09-18T11:39:03.101;200;10;web2
2026-09-18T11:39:03.149;200;8;web1
2026-09-18T11:39:03.186;200;6;web2
2026-09-18T11:39:03.229;200;6;web1
2026-09-18T11:39:03.279;200;14;web2
2026-09-18T11:39:03.321;200;8;web1
2026-09-18T11:39:03.369;200;14;web2
2026-09-18T11:39:03.409;200;14;web1
2026-09-18T11:39:03.445;200;6;web2
2026-09-18T11:39:03.493;200;9;web1
2026-09-18T11:39:03.532;200;8;web2
2026-09-18T11:39:03.570;200;7;web1
2026-09-18T11:39:03.617;200;15;web2
2026-09-18T11:39:03.656;200;6;web1
2026-09-18T11:39:03.697;200;5;web2
2026-09-18T11:39:03.744;200;13;web1
2026-09-18T11:39:03.784;200;16;web2
2026-09-18T11:39:03.823;200;8;web1
2026-09-18T11:39:03.870;200;14;web2
2026-09-18T11:39:03.905;200;11;web1
2026-09-18T11:39:03.945;200;11;web2
2026-09-18T11:39:03.993;200;11;web1
2026-09-18T11:39:04.032;200;8;web2
2026-09-18T11:39:04.070;200;7;web1
2026-09-18T11:39:04.119;200;8;web2
