horodatage;code_http;duree_ms;serveur
2026-09-18T15:58:14.120;200;8;web2
2026-09-18T15:58:14.171;200;16;web1
2026-09-18T15:58:14.211;200;9;web2
2026-09-18T15:58:14.253;200;7;web1
2026-09-18T15:58:14.295;200;14;web2
2026-09-18T15:58:14.336;200;11;web1
2026-09-18T15:58:14.384;200;14;web2
2026-09-18T15:58:14.424;200;17;web1
2026-09-18T15:58:14.475;200;8;web2
2026-09-18T15:58:14.513;200;10;web1
2026-09-18T15:58:14.552;200;8;web2
2026-09-18T15:58:14.601;200;9;web1
2026-09-18T15:58:14.643;200;8;web2
2026-09-18T15:58:14.691;200;7;web1
2026-09-18T15:58:14.732;200;6;web2
2026-09-18T15:58:14.771;200;8;web1
2026-09-18T15:58:14.822;200;9;web2
2026-09-18T15:58:14.863;200;9;web1
2026-09-18T15:58:14.901;200;6;web2
2026-09-18T15:58:14.948;200;8;web1
2026-09-18T15:58:14.991;200;8;web2
2026-09-18T15:58:15.038;200;15;web1
2026-09-18T15:58:15.072;200;6;web2
2026-09-18T15:58:15.112;200;11;web1
2026-09-18T15:58:15.160;200;7;web2
2026-09-18T15:58:15.199;200;12;web1
2026-09-18T15:58:15.240;200;12;web2
2026-09-18T15:58:15.282;200;7;web1
2026-09-18T15:58:15.328;200;6;web2
2026-09-18T15:58:15.369;200;11;web1
2026-09-18T15:58:15.416;200;7;web2
2026-09-18T15:58:15.455;200;15;web1
2026-09-18T15:58:15.495;200;9;web2
2026-09-18T15:58:15.549;200;11;web1
2026-09-18T15:58:15.599;200;8;web2
2026-09-18T15:58:15.643;200;7;web1
2026-09-18T15:58:15.685;200;9;web2
2026-09-18T15:58:15.727;200;7;web1
2026-09-18T15:58:15.784;200;6;web2
2026-09-18T15:58:15.836;200;9;web1
2026-09-18T15:58:15.882;200;13;web2
2026-09-18T15:58:15.928;200;8;web1
2026-09-18T15:58:15.972;200;8;web2
2026-09-18T15:58:16.012;200;7;web1
2026-09-18T15:58:16.064;200;18;web2
2026-09-18T15:58:16.111;200;6;web1
2026-09-18T15:58:16.154;200;15;web2
2026-09-18T15:58:16.192;200;13;web1
2026-09-18T15:58:16.239;200;15;web2
