horodatage;code_http;duree_ms;serveur
2026-09-18T11:39:29.294;200;9;web1
2026-09-18T11:39:29.343;200;14;web2
2026-09-18T11:39:29.384;200;6;web1
2026-09-18T11:39:29.435;200;8;web2
2026-09-18T11:39:29.472;200;7;web1
2026-09-18T11:39:29.513;200;9;web2
2026-09-18T11:39:29.552;200;11;web1
2026-09-18T11:39:29.597;200;8;web2
2026-09-18T11:39:29.639;200;6;web1
2026-09-18T11:39:29.686;200;7;web2
2026-09-18T11:39:29.726;200;17;web1
2026-09-18T11:39:29.772;200;7;web2
2026-09-18T11:39:29.813;200;11;web1
2026-09-18T11:39:29.850;200;6;web2
2026-09-18T11:39:29.890;200;6;web1
2026-09-18T11:39:29.942;200;9;web2
2026-09-18T11:39:29.983;200;9;web1
2026-09-18T11:39:30.028;200;14;web2
2026-09-18T11:39:30.068;200;7;web1
2026-09-18T11:39:30.105;200;11;web2
2026-09-18T11:39:30.152;200;6;web1
2026-09-18T11:39:30.241;200;64;web2
2026-09-18T11:39:30.286;200;6;web1
2026-09-18T11:39:30.323;200;10;web2
2026-09-18T11:39:30.364;200;11;web1
2026-09-18T11:39:30.410;200;10;web2
2026-09-18T11:39:30.449;200;7;web1
2026-09-18T11:39:30.490;200;9;web2
2026-09-18T11:39:30.533;200;6;web1
2026-09-18T11:39:30.585;200;19;web2
2026-09-18T11:39:30.626;200;7;web1
2026-09-18T11:39:30.680;200;14;web2
2026-09-18T11:39:30.716;200;8;web1
2026-09-18T11:39:30.761;200;15;web2
2026-09-18T11:39:30.811;200;8;web1
2026-09-18T11:39:30.846;200;6;web2
2026-09-18T11:39:30.900;200;10;web1
2026-09-18T11:39:30.942;200;10;web2
2026-09-18T11:39:30.984;200;7;web1
2026-09-18T11:39:31.035;200;5;web2
2026-09-18T11:39:31.073;200;9;web1
2026-09-18T11:39:31.118;200;12;web2
2026-09-18T11:39:31.170;200;7;web1
2026-09-18T11:39:31.211;200;10;web2
2026-09-18T11:39:31.257;200;15;web1
2026-09-18T11:39:31.296;200;7;web2
2026-09-18T11:39:31.337;200;8;web1
2026-09-18T11:39:31.387;200;15;web2
2026-09-18T11:39:31.427;200;17;web1
2026-09-18T11:39:31.478;200;6;web2
2026-09-18T11:39:31.520;200;16;web1
2026-09-18T11:39:31.568;200;10;web2
2026-09-18T11:39:31.622;200;12;web1
2026-09-18T11:39:31.683;200;7;web2
2026-09-18T11:39:31.724;200;11;web1
2026-09-18T11:39:31.777;200;15;web2
2026-09-18T11:39:31.820;200;15;web1
2026-09-18T11:39:31.873;200;17;web2
